gene,gene name,ensembl ID,entrez ID,chromosome,genetic category,gene score,ASD risk group,number of reports,hgnc_symbol
MRTFB,myocardin related transcription factor B,ENSG00000186260,57496,16,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,12,MRTFB
MSANTD2,Myb/SANT DNA binding domain containing 2,ENSG00000120458,79684,11,Rare Single Gene Mutation,2,ASD core,2,MSANTD2
MSL2,MSL complex subunit 2,ENSG00000174579,55167,3,Rare Single Gene Mutation,3,ASD associated,5,MSL2
MSL3,MSL complex subunit 3,ENSG00000005302,10943,X,"Rare Single Gene Mutation, Syndromic",1,ASD core,6,MSL3
MSR1,macrophage scavenger receptor 1,ENSG00000038945,4481,8,Rare Single Gene Mutation,2,ASD core,5,MSR1
MSRA,methionine sulfoxide reductase A,ENSG00000175806,4482,8,"Rare Single Gene Mutation, Genetic Association, Functional",3,ASD associated,13,MSRA
MSX2,msh homeobox 2,ENSG00000120149,4488,5,"Rare Single Gene Mutation, Syndromic",3,ASD associated,2,MSX2
MTF1,metal-regulatory transcription factor 1,ENSG00000188786,4520,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,6,MTF1
MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),ENSG00000177000,4524,1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,23,MTHFR
MTOR,mechanistic target of rapamycin kinase,ENSG00000198793,2475,1,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,32,MTOR
MTSS2,MTSS I-BAR domain containing 2,ENSG00000132613,92154,16,"Rare Single Gene Mutation, Syndromic",S,ASD associated,5,MTSS2
MUC12,"mucin 12, cell surface associated",ENSG00000205277,10071,7,Rare Single Gene Mutation,2,ASD core,4,MUC12
MUC4,"mucin 4, cell surface associated",ENSG00000145113,4585,3,Rare Single Gene Mutation,2,ASD core,9,MUC4
MYCBP2,MYC binding protein 2,ENSG00000005810,23077,13,"Rare Single Gene Mutation, Syndromic",1,ASD core,9,MYCBP2
MYH10,myosin heavy chain 10,ENSG00000133026,4628,17,Rare Single Gene Mutation,2,ASD core,8,MYH10
MYH4,"Myosin, heavy chain 4, skeletal muscle",ENSG00000264424,4622,17,Rare Single Gene Mutation,2,ASD core,7,MYH4
MYH9,myosin heavy chain 9,ENSG00000100345,4627,22,Rare Single Gene Mutation,2,ASD core,8,MYH9
MYLK,myosin light chain kinase,ENSG00000065534,4638,3,Rare Single Gene Mutation,3,ASD associated,4,MYLK
MYO16,myosin XVI,ENSG00000041515,23026,13,"Rare Single Gene Mutation, Genetic Association",2,ASD core,10,MYO16
MYO1E,myosin IE,ENSG00000157483,4643,15,Rare Single Gene Mutation,2,ASD core,6,MYO1E
MYO5A,myosin VA,ENSG00000197535,4644,15,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,MYO5A
MYO5C,myosin VC,ENSG00000128833,55930,15,Rare Single Gene Mutation,2,ASD core,5,MYO5C
MYO9B,Myosin IXB,ENSG00000099331,4650,19,Rare Single Gene Mutation,2,ASD core,6,MYO9B
MYOCD,myocardin,ENSG00000141052,93649,17,Rare Single Gene Mutation,3,ASD associated,3,MYOCD
MYT1L,Myelin transcription factor 1-like,ENSG00000186487,23040,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,38,MYT1L
NAA10,"N-alpha-acetyltransferase 10, NatA catalytic subunit",ENSG00000102030,8260,X,"Rare Single Gene Mutation, Syndromic",3,ASD associated,13,NAA10
NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",ENSG00000164134,80155,4,"Rare Single Gene Mutation, Syndromic",1,ASD core,20,NAA15
NAALADL2,N-acetylated alpha-linked acidic dipeptidase-like 2,ENSG00000177694,254827,3,"Rare Single Gene Mutation, Genetic Association",2,ASD core,4,NAALADL2
NACC1,nucleus accumbens associated 1,ENSG00000160877,112939,19,"Rare Single Gene Mutation, Syndromic",1,ASD core,9,NACC1
NAV2,neuron navigator 2,ENSG00000166833,89797,11,"Rare Single Gene Mutation, Syndromic",2,ASD core,13,NAV2
NAV3,neuron navigator 3,ENSG00000067798,89795,12,Rare Single Gene Mutation,2,ASD core,4,NAV3
NBEA,neurobeachin,ENSG00000172915,26960,13,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,25,NBEA
NCAPH2,non-SMC condensin II complex subunit H2,ENSG00000025770,29781,22,Rare Single Gene Mutation,3,ASD associated,1,NCAPH2
NCKAP1,NCK-associated protein 1,ENSG00000061676,10787,2,"Rare Single Gene Mutation, Syndromic",1,ASD core,15,NCKAP1
NCKAP5,NCK-associated protein 5,ENSG00000176771,344148,2,Rare Single Gene Mutation,2,ASD core,3,NCKAP5
NCOA1,nuclear receptor coactivator 1,ENSG00000084676,8648,2,Rare Single Gene Mutation,1,ASD core,4,NCOA1
NCOR1,nuclear receptor corepressor 1,ENSG00000141027,9611,17,"Rare Single Gene Mutation, Functional",2,ASD core,11,NCOR1
NEGR1,neuronal growth regulator 1,ENSG00000172260,257194,1,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,6,NEGR1
NEO1,Neogenin 1,ENSG00000067141,4756,15,Rare Single Gene Mutation,2,ASD core,3,NEO1
NEXMIF,neurite extension and migration factor,ENSG00000050030,340533,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,33,NEXMIF
NF1,"neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)",ENSG00000196712,4763,17,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,37,NF1
NFE2L3,"nuclear factor, erythroid 2 like 3",ENSG00000050344,9603,7,Rare Single Gene Mutation,2,ASD core,4,NFE2L3
NFIA,nuclear factor I/A,ENSG00000162599,4774,1,Rare Single Gene Mutation,2,ASD core,16,NFIA
NFIB,nuclear factor I B,ENSG00000147862,4781,9,"Rare Single Gene Mutation, Syndromic",2,ASD core,6,NFIB
NFIX,nuclear factor I/X (CCAAT-binding transcription factor),ENSG00000008441,4784,19,"Rare Single Gene Mutation, Syndromic",S,ASD associated,17,NFIX
NINL,Ninein-like,ENSG00000101004,22981,20,Rare Single Gene Mutation,2,ASD core,10,NINL
NIPA1,non imprinted in Prader-Willi/Angelman syndrome 1,ENSG00000170113,123606,15,Rare Single Gene Mutation,2,ASD core,6,NIPA1
NIPA2,non imprinted in Prader-Willi/Angelman syndrome 2,ENSG00000140157,81614,15,Rare Single Gene Mutation,2,ASD core,3,NIPA2
NIPBL,Nipped-B homolog (Drosophila),ENSG00000164190,25836,5,"Rare Single Gene Mutation, Syndromic",1,ASD core,18,NIPBL
NLGN1,neuroligin 1,ENSG00000169760,22871,3,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,21,NLGN1
NLGN2,Neuroligin 2,ENSG00000169992,57555,17,"Rare Single Gene Mutation, Functional",1,ASD core,11,NLGN2
NLGN3,neuroligin 3,ENSG00000196338,54413,X,"Rare Single Gene Mutation, Genetic Association, Functional",1,ASD core,45,NLGN3
NLGN4X,"neuroligin 4, X-linked",ENSG00000146938,57502,X,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,42,NLGN4X
NLGN4Y,"neuroligin 4, Y-linked",ENSG00000165246,22829,Y,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,6,NLGN4Y
NOVA2,NOVA alternative splicing regulator 2,ENSG00000104967,4858,19,"Rare Single Gene Mutation, Syndromic",S,ASD associated,3,NOVA2
NPFFR2,neuropeptide FF receptor 2,ENSG00000056291,10886,4,Rare Single Gene Mutation,3,ASD associated,7,NPFFR2
NR1D1,nuclear receptor subfamily 1 group D member 1,ENSG00000126368,9572,17,Rare Single Gene Mutation,2,ASD core,4,NR1D1
NR2F1,nuclear receptor subfamily 2 group F member 1,ENSG00000175745,7025,5,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,26,NR2F1
NR3C2,"Nuclear receptor subfamily 3, group C, member 2",ENSG00000151623,4306,4,"Rare Single Gene Mutation, Syndromic",1,ASD core,12,NR3C2
NR4A2,nuclear receptor subfamily 4 group A member 2,ENSG00000153234,4929,2,"Rare Single Gene Mutation, Syndromic",1,ASD core,10,NR4A2
NRCAM,neuronal cell adhesion molecule,ENSG00000091129,4897,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,NRCAM
NRP2,neuropilin 2,ENSG00000118257,8828,2,"Rare Single Gene Mutation, Genetic Association",2,ASD core,10,NRP2
NRXN1,neurexin 1,ENSG00000179915,9378,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,111,NRXN1
NDUFA5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa",ENSG00000128609,4698,7,Genetic Association,2,ASD core,3,NDUFA5
NKX2-2,NK2 homeobox 2,ENSG00000125820,4821,20,"Genetic Association, Functional",3,ASD associated,2,NKX2-2
NPAS2,neuronal PAS domain protein 2,ENSG00000170485,4862,2,Genetic Association,2,ASD core,4,NPAS2
NRXN2,neurexin 2,ENSG00000110076,9379,11,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,ASD core,17,NRXN2
NRXN3,neurexin 3,ENSG00000021645,9369,14,"Rare Single Gene Mutation, Genetic Association, Functional",1,ASD core,27,NRXN3
NSD1,nuclear receptor binding SET domain protein 1,ENSG00000165671,64324,5,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,32,NSD1
NSD2,nuclear receptor binding SET domain protein 2,ENSG00000109685,7468,4,"Rare Single Gene Mutation, Syndromic",2,ASD core,12,NSD2
NSMCE3,"NSE3 homolog, SMC5-SMC6 complex component",ENSG00000185115,56160,15,"Rare Single Gene Mutation, Functional",2,ASD core,5,NSMCE3
NTNG1,netrin G1,ENSG00000162631,22854,1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,8,NTNG1
NTNG2,netrin G2,ENSG00000196358,84628,9,"Rare Single Gene Mutation, Syndromic",S,ASD associated,6,NTNG2
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",ENSG00000198400,4914,1,"Rare Single Gene Mutation, Syndromic",2,ASD core,9,NTRK1
NTRK2,neurotrophic receptor tyrosine kinase 2,ENSG00000148053,4915,9,"Rare Single Gene Mutation, Syndromic",S,ASD associated,8,NTRK2
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",ENSG00000140538,4916,15,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,15,NTRK3
NUAK1,"NUAK family, SNF1-like kinase, 1",ENSG00000074590,9891,12,"Rare Single Gene Mutation, Functional",2,ASD core,6,NUAK1
NUDCD2,NudC domain containing 2,ENSG00000170584,134492,5,Rare Single Gene Mutation,2,ASD core,4,NUDCD2
NUP133,nucleoporin 133kDa,ENSG00000069248,55746,1,Rare Single Gene Mutation,2,ASD core,5,NUP133
NUP155,nucleoporin 155,ENSG00000113569,9631,5,Rare Single Gene Mutation,1,ASD core,4,NUP155
NXF1,nuclear RNA export factor 1,ENSG00000162231,10482,11,Rare Single Gene Mutation,3,ASD associated,2,NXF1
NXPH1,neurexophilin 1,ENSG00000122584,30010,7,Rare Single Gene Mutation,2,ASD core,6,NXPH1
OCRL,oculocerebrorenal syndrome of Lowe,ENSG00000122126,4952,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,9,OCRL
OFD1,"OFD1, centriole and centriolar satellite protein",ENSG00000046651,8481,X,"Rare Single Gene Mutation, Syndromic",2,ASD core,5,OFD1
OPHN1,oligophrenin 1,ENSG00000079482,4983,X,"Rare Single Gene Mutation, Syndromic",2,ASD core,18,OPHN1
OR1C1,"olfactory receptor, family 1, subfamily C, member 1",ENSG00000221888,26188,1,Rare Single Gene Mutation,2,ASD core,4,OR1C1
OR2T10,olfactory receptor family 2 subfamily T member 10,ENSG00000184022,127069,1,Rare Single Gene Mutation,2,ASD core,4,OR2T10
OR52M1,"Olfactory receptor, family 52, subfamily M, member 1",ENSG00000197790,119772,11,Rare Single Gene Mutation,2,ASD core,3,OR52M1
OTUD7A,OTU deubiquitinase 7A,ENSG00000169918,161725,15,"Rare Single Gene Mutation, Functional",2,ASD core,7,OTUD7A
OXT,oxytocin/neurophysin I prepropeptide,ENSG00000101405,5020,20,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,OXT
OXTR,oxytocin receptor,ENSG00000180914,5021,3,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,50,OXTR
P2RX5,"Purinergic receptor P2X, ligand gated ion channel, 5",ENSG00000083454,5026,17,Rare Single Gene Mutation,2,ASD core,5,P2RX5
P4HA2,"Prolyl 4-hydroxylase, alpha polypeptide II",ENSG00000072682,8974,5,Rare Single Gene Mutation,2,ASD core,5,P4HA2
PABPC1,poly(A) binding protein cytoplasmic 1,ENSG00000070756,26986,8,"Rare Single Gene Mutation, Syndromic",3,ASD associated,6,PABPC1
PACS1,phosphofurin acidic cluster sorting protein 1,ENSG00000175115,55690,11,"Rare Single Gene Mutation, Syndromic",1,ASD core,15,PACS1
PACS2,phosphofurin acidic cluster sorting protein 2,ENSG00000179364,23241,14,"Rare Single Gene Mutation, Syndromic",S,ASD associated,9,PACS2
PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2,ENSG00000168092,5049,11,Rare Single Gene Mutation,2,ASD core,4,PAFAH1B2
PAH,Phenylalanine hydroxylase,ENSG00000171759,5053,12,"Rare Single Gene Mutation, Syndromic",1,ASD core,11,PAH
PAK1,p21 (RAC1) activated kinase 1,ENSG00000149269,5058,11,"Rare Single Gene Mutation, Syndromic",S,ASD associated,6,PAK1
PAK2,p21 (RAC1) activated kinase 2,ENSG00000180370,5062,3,"Rare Single Gene Mutation, Syndromic",2,ASD core,5,PAK2
PAPOLG,poly(A) polymerase gamma,ENSG00000115421,64895,2,Rare Single Gene Mutation,2,ASD core,6,PAPOLG
PARD3B,Par-3 partitioning defective 3 homolog B (C. elegans),ENSG00000116117,117583,2,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,PARD3B
PATJ,"PATJ, crumbs cell polarity complex component",ENSG00000132849,10207,1,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,PATJ
PAX5,Paired box 5,ENSG00000196092,5079,9,Rare Single Gene Mutation,1,ASD core,10,PAX5
PAX6,Paired box 6,ENSG00000007372,5080,11,"Rare Single Gene Mutation, Syndromic, Functional",S,ASD associated,9,PAX6
PBX1,PBX homeobox 1,ENSG00000185630,5087,1,Rare Single Gene Mutation,2,ASD core,7,PBX1
PC,pyruvate carboxylase,ENSG00000173599,5091,11,Rare Single Gene Mutation,3,ASD associated,8,PC
PCCA,propionyl-CoA carboxylase alpha subunit,ENSG00000175198,5095,13,"Rare Single Gene Mutation, Syndromic",S,ASD associated,12,PCCA
PCCB,propionyl-CoA carboxylase beta subunit,ENSG00000114054,5096,3,"Rare Single Gene Mutation, Syndromic",1,ASD core,10,PCCB
PCDH10,protocadherin 10,ENSG00000138650,57575,4,"Rare Single Gene Mutation, Functional",2,ASD core,11,PCDH10
PCDH11X,protocadherin 11 X-linked,ENSG00000102290,27328,X,Rare Single Gene Mutation,2,ASD core,4,PCDH11X
PCDH15,protocadherin related 15,ENSG00000150275,65217,10,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,11,PCDH15
PCDH19,protocadherin 19,ENSG00000165194,57526,X,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,56,PCDH19
PCDH9,protocadherin 9,ENSG00000184226,5101,13,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,11,PCDH9
PCDHA1,Protocadherin alpha 1,ENSG00000204970,56147,5,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,4,PCDHA1
PCDHA10,Protocadherin alpha 10,ENSG00000250120,56139,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,PCDHA10
PCDHA11,Protocadherin alpha 11,ENSG00000249158,56138,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,PCDHA11
PCDHA12,Protocadherin alpha 12,ENSG00000251664,56137,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PCDHA12
PCDHA13,Protocadherin alpha 13,ENSG00000239389,56136,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PCDHA13
PCDHA2,Protocadherin alpha 2,ENSG00000204969,56146,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PCDHA2
PCDHA3,Protocadherin alpha 3,ENSG00000255408,56145,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PCDHA3
PCDHA4,Protocadherin alpha 4,ENSG00000204967,56144,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,PCDHA4
PCDHA5,Protocadherin alpha 5,ENSG00000204965,56143,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,PCDHA5
PCDHA6,Protocadherin alpha 6,ENSG00000081842,56142,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,4,PCDHA6
PCDHA7,Protocadherin alpha 7,ENSG00000204963,56141,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,PCDHA7
PCDHA8,Protocadherin alpha 8,ENSG00000204962,56140,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PCDHA8
PCDHA9,Protocadherin alpha 9,ENSG00000204961,9752,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,4,PCDHA9
PCDHAC1,"Protocadherin alpha subfamily C, 1",ENSG00000248383,56135,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PCDHAC1
PCDHAC2,"Protocadherin alpha subfamily C, 2",ENSG00000243232,56134,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,4,PCDHAC2
PCLO,piccolo presynaptic cytomatrix protein,ENSG00000186472,27445,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2,ASD core,11,PCLO
PCM1,pericentriolar material 1,ENSG00000078674,5108,8,Rare Single Gene Mutation,2,ASD core,6,PCM1
PDCD1,programmed cell death 1,ENSG00000188389,5133,2,Rare Single Gene Mutation,2,ASD core,4,PDCD1
PDE1C,phosphodiesterase 1C,ENSG00000154678,5137,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,PDE1C
PDE3B,phosphodiesterase 3B,ENSG00000152270,5140,11,Rare Single Gene Mutation,3,ASD associated,8,PDE3B
PDK2,pyruvate dehydrogenase kinase 2,ENSG00000005882,5164,17,Rare Single Gene Mutation,2,ASD core,6,PDK2
PDZD8,PDZ domain containing 8,ENSG00000165650,118987,10,"Rare Single Gene Mutation, Syndromic, Functional",S,ASD associated,3,PDZD8
PEBP4,phosphatidylethanolamine binding protein 4,ENSG00000134020,157310,8,Rare Single Gene Mutation,3,ASD associated,2,PEBP4
PER1,period homolog 1 (Drosophila),ENSG00000179094,5187,17,"Rare Single Gene Mutation, Genetic Association",2,ASD core,9,PER1
PER2,period circadian clock 2,ENSG00000132326,8864,2,Rare Single Gene Mutation,2,ASD core,8,PER2
PEX7,peroxisomal biogenesis factor 7,ENSG00000112357,5191,6,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PEX7
PHF12,PHD finger protein 12,ENSG00000109118,57649,17,Rare Single Gene Mutation,1,ASD core,4,PHF12
PHF14,PHD finger protein 14,ENSG00000106443,9678,7,"Rare Single Gene Mutation, Syndromic",3,ASD associated,6,PHF14
PHF2,PHD finger protein 2,ENSG00000197724,5253,9,Rare Single Gene Mutation,1,ASD core,8,PHF2
PHF21A,PHD finger protein 21A,ENSG00000135365,51317,11,"Rare Single Gene Mutation, Syndromic",1,ASD core,15,PHF21A
PHF3,PHD finger protein 3,ENSG00000118482,23469,6,Rare Single Gene Mutation,1,ASD core,5,PHF3
PHF7,PHD finger protein 7,ENSG00000010318,51533,3,Rare Single Gene Mutation,2,ASD core,4,PHF7
PHF8,PHD finger protein 8,ENSG00000172943,23133,X,"Rare Single Gene Mutation, Syndromic",S,ASD associated,13,PHF8
PHIP,pleckstrin homology domain interacting protein,ENSG00000146247,55023,6,"Rare Single Gene Mutation, Syndromic",1,ASD core,23,PHIP
PHLPP1,PH domain and leucine rich repeat protein phosphatase 1,ENSG00000081913,23239,18,Rare Single Gene Mutation,3,ASD associated,5,PHLPP1
PHRF1,PHD and ring finger domains 1,ENSG00000070047,57661,11,Rare Single Gene Mutation,2,ASD core,5,PHRF1
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",ENSG00000121879,5290,3,"Rare Single Gene Mutation, Syndromic",3,ASD associated,8,PIK3CA
PIK3CG,"phosphoinositide-3-kinase, catalytic, gamma polypeptide",ENSG00000105851,5294,7,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PIK3CG
PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,ENSG00000105647,5296,19,"Rare Single Gene Mutation, Syndromic",S,ASD associated,10,PIK3R2
PITX1,paired-like homeodomain 1,ENSG00000069011,5307,5,"Rare Single Gene Mutation, Genetic Association",2,ASD core,6,PITX1
PJA1,praja ring finger ubiquitin ligase 1,ENSG00000181191,64219,X,Syndromic,3,ASD associated,1,PJA1
PLAUR,"Plasminogen activator, urokinase receptor",ENSG00000011422,5329,19,"Rare Single Gene Mutation, Genetic Association",2,ASD core,3,PLAUR
PLCB1,"phospholipase C, beta 1 (phosphoinositide-specific)",ENSG00000182621,23236,20,Rare Single Gene Mutation,2,ASD core,9,PLCB1
PLCD4,phospholipase C delta 4,ENSG00000115556,84812,2,Rare Single Gene Mutation,2,ASD core,5,PLCD4
PLEKHA8,pleckstrin homology domain containing A8,ENSG00000106086,84725,7,Rare Single Gene Mutation,3,ASD associated,2,PLEKHA8
PLN,phospholamban,ENSG00000198523,5350,6,Rare Single Gene Mutation,2,ASD core,4,PLN
PLPPR4,phospholipid phosphatase related 4,ENSG00000117600,9890,1,"Rare Single Gene Mutation, Functional",3,ASD associated,7,PLPPR4
PLXNA3,plexin A3,ENSG00000130827,55558,X,"Rare Single Gene Mutation, Syndromic",2,ASD core,8,PLXNA3
PLXNA4,Plexin A4,ENSG00000221866,91584,7,"Rare Single Gene Mutation, Functional",2,ASD core,6,PLXNA4
PLXNB1,plexin B1,ENSG00000164050,5364,3,Rare Single Gene Mutation,2,ASD core,5,PLXNB1
PNPLA7,patatin like phospholipase domain containing 7,ENSG00000130653,375775,9,Rare Single Gene Mutation,2,ASD core,6,PNPLA7
POGZ,Pogo transposable element with ZNF domain,ENSG00000143442,23126,1,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,60,POGZ
POLA2,"DNA polymerase alpha 2, accessory subunit",ENSG00000014138,23649,11,Rare Single Gene Mutation,2,ASD core,7,POLA2
POLR2A,RNA polymerase II subunit A,ENSG00000181222,5430,17,"Rare Single Gene Mutation, Syndromic",3,ASD associated,10,POLR2A
POLR3A,RNA polymerase III subunit A,ENSG00000148606,11128,10,"Rare Single Gene Mutation, Syndromic",3,ASD associated,10,POLR3A
POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",ENSG00000085998,55624,1,"Rare Single Gene Mutation, Syndromic",1,ASD core,9,POMGNT1
POMT1,protein O-mannosyltransferase 1,ENSG00000130714,10585,9,Rare Single Gene Mutation,2,ASD core,4,POMT1
POT1,Protection of telomeres 1 homolog (S. pombe),ENSG00000128513,25913,7,Rare Single Gene Mutation,2,ASD core,3,POT1
POU3F3,POU class 3 homeobox 3,ENSG00000198914,5455,2,"Rare Single Gene Mutation, Syndromic",S,ASD associated,4,POU3F3
PPFIA1,PTPRF interacting protein alpha 1,ENSG00000131626,8500,11,Rare Single Gene Mutation,2,ASD core,5,PPFIA1
PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",ENSG00000170836,8493,17,"Rare Single Gene Mutation, Syndromic",2,ASD core,10,PPM1D
PPP1R1B,"Protein phosphatase 1, regulatory (inhibitor) subunit 1B",ENSG00000131771,84152,17,"Rare Single Gene Mutation, Genetic Association",2,ASD core,2,PPP1R1B
PPP1R9B,protein phosphatase 1 regulatory subunit 9B,ENSG00000108819,84687,17,Rare Single Gene Mutation,1,ASD core,4,PPP1R9B
PPP2CA,protein phosphatase 2 catalytic subunit alpha,ENSG00000113575,5515,5,"Rare Single Gene Mutation, Syndromic",S,ASD associated,4,PPP2CA
OR2M4,"Olfactory receptor, family 2, subfamily M, member 4",ENSG00000171180,26245,1,Genetic Association,2,ASD core,1,OR2M4
OTX1,orthodenticle homeobox 1,ENSG00000115507,5013,2,Genetic Association,2,ASD core,3,OTX1
PHB1,prohibitin 1,ENSG00000167085,5245,17,Genetic Association,2,ASD core,1,PHB1
PON1,paraoxonase 1,ENSG00000005421,5444,7,Genetic Association,2,ASD core,5,PON1
PPP2R1B,"protein phosphatase 2 regulatory subunit A, beta",ENSG00000137713,5519,11,Rare Single Gene Mutation,2,ASD core,8,PPP2R1B
PPP2R5D,"Protein phosphatase 2, regulatory subunit B', delta",ENSG00000112640,5528,6,"Rare Single Gene Mutation, Syndromic, Functional",1,ASD core,29,PPP2R5D
PPP3CA,protein phosphatase 3 catalytic subunit alpha,ENSG00000138814,5530,4,"Rare Single Gene Mutation, Syndromic",3,ASD associated,11,PPP3CA
PPP5C,protein phosphatase 5 catalytic subunit,ENSG00000011485,5536,19,Rare Single Gene Mutation,1,ASD core,3,PPP5C
PREX1,"Phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1",ENSG00000124126,57580,20,"Rare Single Gene Mutation, Genetic Association",2,ASD core,5,PREX1
PRICKLE1,Prickle homolog 1 (Drosophila),ENSG00000139174,144165,12,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,7,PRICKLE1
PRICKLE2,prickle planar cell polarity protein 2,ENSG00000163637,166336,3,"Rare Single Gene Mutation, Functional",2,ASD core,7,PRICKLE2
PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta,ENSG00000188191,5575,7,"Rare Single Gene Mutation, Syndromic",2,ASD core,7,PRKAR1B
PRKCA,protein kinase C alpha,ENSG00000154229,5578,17,"Rare Single Gene Mutation, Functional",2,ASD core,6,PRKCA
PRKCB,protein kinase C beta,ENSG00000166501,5579,16,"Rare Single Gene Mutation, Genetic Association",2,ASD core,8,PRKCB
PRKD1,Protein kinase D1,ENSG00000184304,5587,14,"Rare Single Gene Mutation, Syndromic",S,ASD associated,7,PRKD1
PRKD2,protein kinase D2,ENSG00000105287,25865,19,Rare Single Gene Mutation,2,ASD core,4,PRKD2
PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",ENSG00000253729,5591,8,"Rare Single Gene Mutation, Syndromic, Functional",2,ASD core,9,PRKDC
PRKN,parkin RBR E3 ubiquitin protein ligase,ENSG00000185345,5071,6,"Rare Single Gene Mutation, Genetic Association, Functional",2,ASD core,18,PRKN
PRODH,Proline dehydrogenase (oxidase) 1,ENSG00000100033,5625,22,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,ASD core,7,PRODH
PRPF39,pre-mRNA processing factor 39,ENSG00000185246,55015,14,Rare Single Gene Mutation,2,ASD core,3,PRPF39
PRPF8,pre-mRNA processing factor 8,ENSG00000174231,10594,17,"Rare Single Gene Mutation, Syndromic",3,ASD associated,9,PRPF8
PRR12,proline rich 12,ENSG00000126464,57479,19,"Rare Single Gene Mutation, Syndromic",1,ASD core,7,PRR12
PRR14L,proline rich 14 like,ENSG00000183530,253143,22,Rare Single Gene Mutation,1,ASD core,5,PRR14L
PRUNE2,prune homolog 2,ENSG00000106772,158471,9,"Rare Single Gene Mutation, Syndromic",2,ASD core,12,PRUNE2
PSD3,pleckstrin and Sec7 domain containing 3,ENSG00000156011,23362,8,"Rare Single Gene Mutation, Genetic Association",2,ASD core,7,PSD3
